"STATION","NAME","DATE","TMAX","TMIN"
"MXM00076680","MEXICO CITY, MX","2008-01-04",,
"MXM00076680","MEXICO CITY, MX","2008-01-08","76","45"
"MXM00076680","MEXICO CITY, MX","2008-01-09","76","46"
"MXM00076680","MEXICO CITY, MX","2008-01-10","76","46"
"MXM00076680","MEXICO CITY, MX","2008-01-11",,
"MXM00076680","MEXICO CITY, MX","2008-01-15","73","45"
"MXM00076680","MEXICO CITY, MX","2008-01-16",,
"MXM00076680","MEXICO CITY, MX","2008-01-17","72","47"
"MXM00076680","MEXICO CITY, MX","2008-01-18","72","47"
"MXM00076680","MEXICO CITY, MX","2008-01-19","70","48"
"MXM00076680","MEXICO CITY, MX","2008-01-22",,
"MXM00076680","MEXICO CITY, MX","2008-01-23",,
"MXM00076680","MEXICO CITY, MX","2008-01-24","80","46"
"MXM00076680","MEXICO CITY, MX","2008-01-25","81","48"
"MXM00076680","MEXICO CITY, MX","2008-01-28",,
"MXM00076680","MEXICO CITY, MX","2008-01-29","76","47"
"MXM00076680","MEXICO CITY, MX","2008-01-30",,
"MXM00076680","MEXICO CITY, MX","2008-01-31",,
"MXM00076680","MEXICO CITY, MX","2008-02-01","78","45"
"MXM00076680","MEXICO CITY, MX","2008-02-06","78","46"
"MXM00076680","MEXICO CITY, MX","2008-02-07","78","48"
"MXM00076680","MEXICO CITY, MX","2008-02-08","75","48"
"MXM00076680","MEXICO CITY, MX","2008-02-12","74","46"
"MXM00076680","MEXICO CITY, MX","2008-02-13","73","46"
"MXM00076680","MEXICO CITY, MX","2008-02-14",,
"MXM00076680","MEXICO CITY, MX","2008-02-15",,
"MXM00076680","MEXICO CITY, MX","2008-02-19","81","48"
"MXM00076680","MEXICO CITY, MX","2008-02-20",,
"MXM00076680","MEXICO CITY, MX","2008-02-21","83","51"
"MXM00076680","MEXICO CITY, MX","2008-02-22","82","51"
"MXM00076680","MEXICO CITY, MX","2008-02-23","81","52"
"MXM00076680","MEXICO CITY, MX","2008-02-25",,
"MXM00076680","MEXICO CITY, MX","2008-02-26","81","47"
"MXM00076680","MEXICO CITY, MX","2008-02-27",,
"MXM00076680","MEXICO CITY, MX","2008-02-28","71","41"
"MXM00076680","MEXICO CITY, MX","2008-02-29",,
"MXM00076680","MEXICO CITY, MX","2008-03-04","78","51"
"MXM00076680","MEXICO CITY, MX","2008-03-05","78","54"
"MXM00076680","MEXICO CITY, MX","2008-03-06","79","54"
"MXM00076680","MEXICO CITY, MX","2008-03-07","77","47"
"MXM00076680","MEXICO CITY, MX","2008-03-08","77","47"
"MXM00076680","MEXICO CITY, MX","2008-03-11",,
"MXM00076680","MEXICO CITY, MX","2008-03-12","78","47"
"MXM00076680","MEXICO CITY, MX","2008-03-13","77","51"
"MXM00076680","MEXICO CITY, MX","2008-03-14",,
"MXM00076680","MEXICO CITY, MX","2008-03-18","83","54"
"MXM00076680","MEXICO CITY, MX","2008-03-19",,
"MXM00076680","MEXICO CITY, MX","2008-03-24",,
"MXM00076680","MEXICO CITY, MX","2008-03-25",,
"MXM00076680","MEXICO CITY, MX","2008-03-26","76","45"
"MXM00076680","MEXICO CITY, MX","2008-03-27",,
"MXM00076680","MEXICO CITY, MX","2008-03-28","82","53"
"MXM00076680","MEXICO CITY, MX","2008-03-29","82","56"
"MXM00076680","MEXICO CITY, MX","2008-04-01","85","57"
"MXM00076680","MEXICO CITY, MX","2008-04-02",,
"MXM00076680","MEXICO CITY, MX","2008-04-03",,
"MXM00076680","MEXICO CITY, MX","2008-04-04","85","56"
"MXM00076680","MEXICO CITY, MX","2008-04-08","80","54"
"MXM00076680","MEXICO CITY, MX","2008-04-09","85","56"
"MXM00076680","MEXICO CITY, MX","2008-04-10","85","56"
"MXM00076680","MEXICO CITY, MX","2008-04-11","87","56"
"MXM00076680","MEXICO CITY, MX","2008-04-14",,
"MXM00076680","MEXICO CITY, MX","2008-04-15","76","47"
"MXM00076680","MEXICO CITY, MX","2008-04-17","78","53"
"MXM00076680","MEXICO CITY, MX","2008-04-18",,
"MXM00076680","MEXICO CITY, MX","2008-04-21",,
"MXM00076680","MEXICO CITY, MX","2008-04-22","88","60"
"MXM00076680","MEXICO CITY, MX","2008-04-23","88","57"
"MXM00076680","MEXICO CITY, MX","2008-04-24",,
"MXM00076680","MEXICO CITY, MX","2008-04-25","85","54"
"MXM00076680","MEXICO CITY, MX","2008-04-26","86","56"
"MXM00076680","MEXICO CITY, MX","2008-04-29","73","51"
"MXM00076680","MEXICO CITY, MX","2008-04-30","72","49"
"MXM00076680","MEXICO CITY, MX","2008-05-01","78","50"
"MXM00076680","MEXICO CITY, MX","2008-05-02","80","52"
"MXM00076680","MEXICO CITY, MX","2008-05-03","82","55"
"MXM00076680","MEXICO CITY, MX","2008-05-06","85","57"
"MXM00076680","MEXICO CITY, MX","2008-05-07",,
"MXM00076680","MEXICO CITY, MX","2008-05-08","86","60"
"MXM00076680","MEXICO CITY, MX","2008-05-09",,
"MXM00076680","MEXICO CITY, MX","2008-05-10",,
"MXM00076680","MEXICO CITY, MX","2008-05-12","87","58"
"MXM00076680","MEXICO CITY, MX","2008-05-15","80","56"
"MXM00076680","MEXICO CITY, MX","2008-05-16","81","56"
"MXM00076680","MEXICO CITY, MX","2008-05-17","77","55"
"MXM00076680","MEXICO CITY, MX","2008-05-27","84","56"
"MXM00076680","MEXICO CITY, MX","2008-05-28","84","53"
"MXM00076680","MEXICO CITY, MX","2008-05-29","79","53"
"MXM00076680","MEXICO CITY, MX","2008-05-30","80","49"
"MXM00076680","MEXICO CITY, MX","2008-06-02",,
"MXM00076680","MEXICO CITY, MX","2008-06-03","83","53"
"MXM00076680","MEXICO CITY, MX","2008-06-04",,
"MXM00076680","MEXICO CITY, MX","2008-06-05",,
"MXM00076680","MEXICO CITY, MX","2008-06-06","85","57"
"MXM00076680","MEXICO CITY, MX","2008-06-09",,
"MXM00076680","MEXICO CITY, MX","2008-06-10",,
"MXM00076680","MEXICO CITY, MX","2008-06-11",,
"MXM00076680","MEXICO CITY, MX","2008-06-12","78","52"
"MXM00076680","MEXICO CITY, MX","2008-06-13","73","52"
"MXM00076680","MEXICO CITY, MX","2008-06-17","78","55"
"MXM00076680","MEXICO CITY, MX","2008-06-18","79","54"
"MXM00076680","MEXICO CITY, MX","2008-06-19",,
"MXM00076680","MEXICO CITY, MX","2008-06-20","80","50"
"MXM00076680","MEXICO CITY, MX","2008-06-21","80","54"
"MXM00076680","MEXICO CITY, MX","2008-06-24","72","54"
"MXM00076680","MEXICO CITY, MX","2008-06-25",,
"MXM00076680","MEXICO CITY, MX","2008-06-26","76","51"
"MXM00076680","MEXICO CITY, MX","2008-06-27",,
"MXM00076680","MEXICO CITY, MX","2008-06-28","80","53"
"MXM00076680","MEXICO CITY, MX","2008-07-01","71","54"
"MXM00076680","MEXICO CITY, MX","2008-07-02","70","55"
"MXM00076680","MEXICO CITY, MX","2008-07-03","70","55"
"MXM00076680","MEXICO CITY, MX","2008-07-04","73","55"
"MXM00076680","MEXICO CITY, MX","2008-07-06","75","54"
"MXM00076680","MEXICO CITY, MX","2008-07-08","67","56"
"MXM00076680","MEXICO CITY, MX","2008-07-09",,
"MXM00076680","MEXICO CITY, MX","2008-07-10",,
"MXM00076680","MEXICO CITY, MX","2008-07-11","70","53"
"MXM00076680","MEXICO CITY, MX","2008-07-13",,
"MXM00076680","MEXICO CITY, MX","2008-07-14","77","50"
"MXM00076680","MEXICO CITY, MX","2008-07-15","77","55"
"MXM00076680","MEXICO CITY, MX","2008-07-16","78","57"
"MXM00076680","MEXICO CITY, MX","2008-07-17","79","53"
"MXM00076680","MEXICO CITY, MX","2008-07-18",,
"MXM00076680","MEXICO CITY, MX","2008-07-19","78","53"
"MXM00076680","MEXICO CITY, MX","2008-07-20","79","52"
"MXM00076680","MEXICO CITY, MX","2008-07-22","80","48"
"MXM00076680","MEXICO CITY, MX","2008-07-23","79","54"
"MXM00076680","MEXICO CITY, MX","2008-07-24","82","56"
"MXM00076680","MEXICO CITY, MX","2008-07-25",,
"MXM00076680","MEXICO CITY, MX","2008-07-26","78","56"
"MXM00076680","MEXICO CITY, MX","2008-07-28","76","52"
"MXM00076680","MEXICO CITY, MX","2008-07-29",,
"MXM00076680","MEXICO CITY, MX","2008-07-30","81","55"
"MXM00076680","MEXICO CITY, MX","2008-07-31","81","55"
"MXM00076680","MEXICO CITY, MX","2008-08-01","82","57"
"MXM00076680","MEXICO CITY, MX","2008-08-04",,
